Excel_col_code,metric,source,scrape_address_css,scrape_address_xpath,formula,col_name_in_comp_df
"A","company_name","companies_df","None","None","None","NAME OF COMPANY"
"B","sector_name","companies_df","None","None","None","Industry"
"C","group","companies_df","None","None","None","Group"
"D","market_cap","screener","#content-area > section:nth-child(5) > ul > li:nth-child(1) > b::text","None","None","None"
"E","cmp","screener","#content-area > section:nth-child(5) > ul > li:nth-child(2) > b::text","None","None","None"
"F","Valuation","calculation","None","None","formula","None"
"G","PEG","calculation","None","None","formula","None"
"H","Current P/E(x)","moneycontrol","#standalone_valuation > ul > li:nth-child(1) > ul > li:nth-child(2) > div.value_txtfr::text","None","None","None"
"I","Avg PE (5 yrs)","calculation","None","None","formula","None"
"J","EPS","moneycontrol","#standalone_valuation > ul > li:nth-child(2) > ul > li:nth-child(3) > div.value_txtfr::text","None","None","None"
"K","EPS CAGR %(3 yrs)","calculation","None","None","formula","None"
"L","ROE(%)","screener","#content-area > section:nth-child(5) > ul > li:nth-child(8) > b::text","None","None","None"
"M","ROCE(%)","screener","#content-area > section:nth-child(5) > ul > li:nth-child(7) > b::text","None","None","None"
"N","P/B(x)","moneycontrol","#standalone_valuation > ul > li:nth-child(3) > ul > li:nth-child(1) > div.value_txtfr::text","None","None","None"
"O","Dividend Yield","screener","#content-area > section:nth-child(5) > ul > li:nth-child(6) > b::text","None","None","None"
